Interval=	0.001 s
ExcelDateTime=	4.5714686356866121e+004	2/26/2025 16:28:21.233233
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
8.857	0.131875
8.858	-0.1281875
8.859	-0.094875
8.86	0.2224375
8.861	-0.178875
8.862	-0.128125
8.863	0.0168125
8.864	-0.3725625
8.865	-0.59175
8.866	-0.57225
8.867	-1.002063
8.868	-0.826875
8.869	0.5008125
8.87	0.515875
8.871	0.86
8.872	1.250188
8.873	-0.5479375
8.874	-0.4755
8.875	0.5250625
8.876	-0.2941875
8.877	-1.041313
8.878	-1.066938
8.879	-0.440125
8.88	-0.28225
8.881	-0.6845625
8.882	-0.3819375
8.883	-0.0453125
8.884	0.26325
8.885	-0.3485625
8.886	-0.2890625
8.887	1.035125
8.888	0.7448125
8.889	0.327
8.89	-0.462875
8.891	-1.216063
8.892	-0.07575
8.893	0.5654375
8.894	0.671625
8.895	0.2361875
8.896	-0.4711875
8.897	0.0481875
8.898	0.001625
8.899	-0.7468125
8.9	-1.052688
8.901	-1.001188
8.902	-0.912375
8.903	-0.7551875
8.904	-0.70675
8.905	-0.537875
8.906	0.559375
8.907	0.83875
8.908	-1.166187
8.909	-0.4724375
8.91	1.851687
8.911	1.393688
8.912	0.2218125
8.913	-0.7184375
8.914	-1.027625
8.915	-0.927375
8.916	-0.800375
8.917	-0.618125
8.918	-0.2954375
8.919	-0.015125
8.92	-0.1231875
8.921	-0.24975
8.922	0.1700625
8.923	0.2805
8.924	-0.6973125
8.925	-0.2675
8.926	0.1969375
8.927	-0.3075625
8.928	-0.395125
8.929	-0.654
8.93	-0.629375
8.931	-0.5964375
8.932	-0.714375
8.933	-0.7995
8.934	-0.371375
8.935	0.1724375
8.936	0.0025625
8.937	0.402375
8.938	0.4194375
8.939	-0.697
8.94	-0.7269375
8.941	0.246125
8.942	0.8458125
8.943	0.4940625
8.944	-0.3681875
8.945	-0.584
8.946	-0.454375
8.947	-0.43875
8.948	-0.376125
8.949	-0.3620625
8.95	-0.3734375
8.951	-0.2589375
8.952	0.207375
8.953	0.2590625
8.954	-0.48525
8.955	-0.4003125
8.956	0.2495
8.957	0.122375
8.958	0.033625
8.959	0.5914375
8.96	1.156313
8.961	0.9828125
8.962	-0.171125
8.963	-0.7401875
8.964	0.1558125
8.965	0.5338125
8.966	-0.3493125
8.967	-1.067938
8.968	-0.9774375
8.969	-0.7795
8.97	-0.371375
8.971	0.2803125
8.972	-0.7015
8.973	-0.9945625
8.974	0.8260625
8.975	0.767125
8.976	0.242875
8.977	0.4269375
8.978	0.2899375
8.979	0.7545625
8.98	0.3491875
8.981	-0.721625
8.982	-0.8394375
8.983	-0.8754375
8.984	-0.81275
8.985	-0.347125
8.986	-0.1848125
8.987	-0.506375
8.988	-0.5788125
8.989	0.38025
8.99	1.15825
8.991	1.313813
8.992	0.551
8.993	-1.193375
8.994	0.169625
8.995	1.645563
8.996	0.2205
8.997	-0.5005625
8.998	-0.85625
8.999	-1.126813
9	-1.081687
9.001	-0.8493125
9.002	-0.4569375
9.003	-0.3455625
9.004	-0.392125
9.005	-0.3681875
9.006	-0.321625
9.007	-0.1695625
9.008	-0.0495625
9.009	-0.1839375
9.01	-0.2250625
9.011	-0.1754375
9.012	-0.1091875
9.013	-0.0120625
9.014	-0.0810625
9.015	-0.218875
9.016	-0.1805
9.017	-0.088375
9.018	-0.0821875
9.019	0.0901875
9.02	0.0866875
9.021	-0.08925
9.022	0.006625
