Interval=	0.001 s
ExcelDateTime=	4.5714703475469265e+004	2/26/2025 16:53:00.280544
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 4
Range=	2.000 mV
5.344	-0.0263125
5.345	-0.8909375
5.346	-0.4723125
5.347	0.138875
5.348	-0.770625
5.349	-0.782875
5.35	-0.4346875
5.351	-0.6473125
5.352	-0.65825
5.353	-0.7491875
5.354	-1.189875
5.355	-1.097938
5.356	-0.0081875
5.357	1.314
5.358	1.992312
5.359	1.845875
5.36	1.101063
5.361	0.4354375
5.362	0.6206875
5.363	0.053125
5.364	-1.299187
5.365	-1.323125
5.366	-1.265688
5.367	-1.027
5.368	-0.41325
5.369	-0.268625
5.37	-0.0996875
5.371	-0.3746875
5.372	-0.4729375
5.373	-0.389875
5.374	-0.81925
5.375	-0.8700625
5.376	-0.7404375
5.377	-0.1198125
5.378	0.4495625
5.379	-0.1221875
5.38	-0.425125
5.381	-0.0361875
5.382	0.221625
5.383	-0.034375
5.384	-0.3314375
5.385	-0.086375
5.386	0.7906875
5.387	1.3205
5.388	0.5405
5.389	-0.3858125
5.39	-0.0175625
5.391	-0.0158125
5.392	-0.131125
5.393	-0.219125
5.394	-0.7306875
5.395	-0.2684375
5.396	-0.201125
5.397	-0.5045
5.398	-1.28875
5.399	-1.480438
5.4	-0.6813125
5.401	-0.1081875
5.402	1.0845
5.403	1.723313
5.404	1.563625
5.405	1.310563
5.406	0.7133125
5.407	-0.230875
5.408	-1.109438
5.409	-1.09325
5.41	-0.60475
5.411	-0.5104375
5.412	-0.7393125
5.413	-0.877625
5.414	-1.042875
5.415	-0.9354375
5.416	-0.355875
5.417	0.1654375
5.418	0.2723125
5.419	0.0824375
5.42	-0.2739375
5.421	-0.102375
5.422	0.417875
5.423	0.3651875
5.424	-0.1315625
5.425	-0.9345
5.426	-0.9751875
5.427	-0.6268125
5.428	-0.6586875
5.429	-0.66675
5.43	-0.14525
5.431	0.6379375
5.432	1.021937
5.433	1.357875
5.434	0.50775
5.435	-0.3530625
5.436	0.5595
5.437	0.7653125
5.438	-0.3696875
5.439	-0.9789375
5.44	-1.185938
5.441	-1.021438
5.442	-0.5789375
5.443	-0.4656875
5.444	-0.137625
5.445	-0.1484375
5.446	0.25025
5.447	0.84225
5.448	0.767
5.449	0.686625
5.45	-0.059625
5.451	-0.650625
5.452	-0.8268125
5.453	-0.7861875
5.454	-0.59375
5.455	-0.562375
5.456	-0.322375
5.457	-0.130625
5.458	0.063625
5.459	-0.3099375
5.46	-0.4259375
5.461	0.657875
5.462	0.53825
5.463	-0.4141875
5.464	-0.7203125
5.465	-1.045875
5.466	-0.7479375
5.467	-0.271875
5.468	-0.504
5.469	-0.6725
5.47	-0.5370625
5.471	-0.44
5.472	0.528875
5.473	1.025688
5.474	0.7929375
5.475	1.683812
5.476	1.682187
5.477	0.4085
5.478	-0.6180625
5.479	-1.1475
5.48	-1.02375
5.481	-0.9191875
5.482	-0.8738125
5.483	-0.75575
5.484	-0.340875
5.485	0.36575
5.486	0.6834375
5.487	0.3808125
5.488	0.103
5.489	0.2698125
5.49	0.018125
5.491	-0.2445625
5.492	-0.4754375
5.493	-0.584375
5.494	-0.3750625
5.495	-1.042688
5.496	-1.487688
5.497	-1.05025
5.498	-0.2659375
5.499	0.443875
5.5	0.4025
5.501	0.240375
5.502	0.06375
5.503	0.077
5.504	0.53675
5.505	0.1975
5.506	-0.015
5.507	0.3601875
5.508	0.187
5.509	-0.176875
5.51	-0.4526875
5.511	-0.426
5.512	-0.142875
5.513	-0.0058125
5.514	-0.1495
5.515	0.1264375
5.516	0.271
5.517	0.256125
5.518	0.5960625
5.519	0.306625
5.52	-0.37875
5.521	-1.066125
5.522	-1.072062
5.523	-0.4519375
5.524	-0.0578125
5.525	0.04725
5.526	0.1820625
5.527	-0.0094375
5.528	-0.082125
5.529	-0.1175
5.53	-0.671125
5.531	-1.05575
5.532	-1.013875
5.533	-0.4663125
5.534	-0.3063125
5.535	-0.9499375
5.536	-0.7888125
5.537	0.6094375
5.538	1.370937
5.539	1.457437
5.54	0.5558125
5.541	-0.1783125
5.542	-0.0875625
5.543	-1.112
5.544	-1.33225
5.545	-0.4010625
5.546	-0.009
5.547	0.224125
5.548	0.2115625
5.549	-0.2684375
5.55	-0.09675
5.551	0.57375
5.552	0.871875
5.553	0.7159375
5.554	-0.201125
5.555	-0.791125
5.556	-0.6429375
5.557	-0.477125
5.558	-0.283625
5.559	-0.2595
5.56	-0.33525
5.561	-0.465875
5.562	-0.32275
5.563	-0.0923125
5.564	-0.0921875
5.565	-0.0935625
5.566	-0.126625
5.567	-0.017125
5.568	-0.2001875
5.569	-0.3529375
5.57	0.36575
5.571	0.40075
5.572	-0.837875
5.573	-1.249063
5.574	-1.06575
5.575	-0.709375
5.576	-0.0521875
5.577	0.2943125
5.578	0.9110625
5.579	0.852625
5.58	0.6835
5.581	0.9776875
5.582	0.4715625
5.583	0.3684375
5.584	0.07475
5.585	-0.94
5.586	-0.4413125
5.587	0.3560625
5.588	0.137875
5.589	-0.3298125
5.59	-0.8025625
5.591	-0.8251875
5.592	-0.56025
5.593	-0.2803125
5.594	-0.1216875
5.595	-0.3758125
5.596	-0.4663125
5.597	-0.824
5.598	-0.5366875
5.599	0.6009375
5.6	0.7330625
5.601	0.93575
5.602	0.6079375
5.603	0.120125
5.604	0.35375
5.605	-0.6395
5.606	-0.5128125
5.607	0.2991875
5.608	-0.16575
5.609	-0.4450625
5.61	-0.2839375
5.611	-0.224375
5.612	-0.10125
5.613	0.1020625
5.614	-0.34675
5.615	-0.972875
5.616	-0.9043125
5.617	-0.1500625
5.618	0.043375
5.619	-0.049625
5.62	-0.002
5.621	0.10275
5.622	0.2175
5.623	-0.269625
5.624	-0.5425625
5.625	-0.3875
5.626	-0.0460625
5.627	0.17875
5.628	0.0015
5.629	-0.180125
5.63	-0.6923125
5.631	-0.948875
5.632	-0.6226875
5.633	-0.1734375
5.634	0.4595625
5.635	0.721125
5.636	0.411
5.637	0.1371875
5.638	0.2239375
5.639	0.19625
5.64	-0.200625
5.641	-0.42975
5.642	-0.3915
5.643	-0.83925
5.644	-1.020063
5.645	0.047375
5.646	1.316
5.647	1.1305
5.648	0.0599375
5.649	0.1445
5.65	0.546
5.651	0.0365625
5.652	-0.516
5.653	-0.789875
5.654	-0.2626875
5.655	0.3161875
5.656	0.1431875
5.657	0.4608125
5.658	0.2845
5.659	-0.793
5.66	-1.08975
5.661	-0.9828125
5.662	-0.9589375
5.663	-0.6409375
5.664	-0.9640625
5.665	-0.5871875
5.666	1.354938
5.667	NaN
5.668	1.705688
5.669	0.8241875
5.67	-0.167375
5.671	-0.957
5.672	-1.096625
5.673	-1.081125
5.674	-1.139875
5.675	-1.186063
5.676	-1.126375
5.677	-0.8273125
5.678	-0.415
5.679	-0.486
5.68	-0.8385625
5.681	-0.695625
5.682	-0.58925
5.683	-0.7555
5.684	-0.85175
5.685	-0.884375
5.686	-0.94475
5.687	-0.863625
5.688	-0.9036875
5.689	-0.7475625
5.69	-0.6446875
5.691	-0.0298125
5.692	0.6055
5.693	0.5155
5.694	0.6045625
5.695	0.3168125
5.696	0.0124375
5.697	-0.2555625
5.698	-0.4303125
5.699	-0.42375
5.7	-0.5973125
5.701	-0.6351875
5.702	-0.4174375
5.703	-0.202875
5.704	1.214813
5.705	NaN
5.706	0.4958125
5.707	-0.65225
5.708	-0.9766875
5.709	-1.62975
5.71	NaN
5.711	-2.00175
5.712	-0.713625
5.713	0.3065625
5.714	0.3395
5.715	0.55425
5.716	0.46525
